LOCATION,INDICATOR,SUBJECT,MEASURE,FREQUENCY,TIME,Value,Flag Codes
USA,CCI,AMPLITUD,LTRENDIDX,M,2014-01,99.26174,
USA,CCI,AMPLITUD,LTRENDIDX,M,2014-02,99.33869,
USA,CCI,AMPLITUD,LTRENDIDX,M,2014-03,99.3741,
USA,CCI,AMPLITUD,LTRENDIDX,M,2014-04,99.45427,
USA,CCI,AMPLITUD,LTRENDIDX,M,2014-05,99.43932,
USA,CCI,AMPLITUD,LTRENDIDX,M,2014-06,99.41032,
USA,CCI,AMPLITUD,LTRENDIDX,M,2014-07,99.40133,
USA,CCI,AMPLITUD,LTRENDIDX,M,2014-08,99.50553,
USA,CCI,AMPLITUD,LTRENDIDX,M,2014-09,99.72992,
USA,CCI,AMPLITUD,LTRENDIDX,M,2014-10,100.0454,
USA,CCI,AMPLITUD,LTRENDIDX,M,2014-11,100.4324,
USA,CCI,AMPLITUD,LTRENDIDX,M,2014-12,100.8616,
USA,CCI,AMPLITUD,LTRENDIDX,M,2015-01,101.1507,
USA,CCI,AMPLITUD,LTRENDIDX,M,2015-02,101.1533,
USA,CCI,AMPLITUD,LTRENDIDX,M,2015-03,101.0476,
USA,CCI,AMPLITUD,LTRENDIDX,M,2015-04,100.9877,
USA,CCI,AMPLITUD,LTRENDIDX,M,2015-05,100.8998,
USA,CCI,AMPLITUD,LTRENDIDX,M,2015-06,100.9152,
USA,CCI,AMPLITUD,LTRENDIDX,M,2015-07,100.7897,
USA,CCI,AMPLITUD,LTRENDIDX,M,2015-08,100.5824,
USA,CCI,AMPLITUD,LTRENDIDX,M,2015-09,100.3956,
USA,CCI,AMPLITUD,LTRENDIDX,M,2015-10,100.4276,
USA,CCI,AMPLITUD,LTRENDIDX,M,2015-11,100.5551,
USA,CCI,AMPLITUD,LTRENDIDX,M,2015-12,100.6612,
USA,CCI,AMPLITUD,LTRENDIDX,M,2016-01,100.6756,
USA,CCI,AMPLITUD,LTRENDIDX,M,2016-02,100.6347,
USA,CCI,AMPLITUD,LTRENDIDX,M,2016-03,100.5911,
USA,CCI,AMPLITUD,LTRENDIDX,M,2016-04,100.6153,
USA,CCI,AMPLITUD,LTRENDIDX,M,2016-05,100.7492,
USA,CCI,AMPLITUD,LTRENDIDX,M,2016-06,100.725,
USA,CCI,AMPLITUD,LTRENDIDX,M,2016-07,100.5646,
USA,CCI,AMPLITUD,LTRENDIDX,M,2016-08,100.4486,
USA,CCI,AMPLITUD,LTRENDIDX,M,2016-09,100.4277,
USA,CCI,AMPLITUD,LTRENDIDX,M,2016-10,100.5118,
USA,CCI,AMPLITUD,LTRENDIDX,M,2016-11,100.872,
USA,CCI,AMPLITUD,LTRENDIDX,M,2016-12,101.2411,
USA,CCI,AMPLITUD,LTRENDIDX,M,2017-01,101.4033,
USA,CCI,AMPLITUD,LTRENDIDX,M,2017-02,101.3898,
USA,CCI,AMPLITUD,LTRENDIDX,M,2017-03,101.3564,
USA,CCI,AMPLITUD,LTRENDIDX,M,2017-04,101.313,
USA,CCI,AMPLITUD,LTRENDIDX,M,2017-05,101.2352,
USA,CCI,AMPLITUD,LTRENDIDX,M,2017-06,101.1194,
USA,CCI,AMPLITUD,LTRENDIDX,M,2017-07,101.0745,
USA,CCI,AMPLITUD,LTRENDIDX,M,2017-08,101.18,
USA,CCI,AMPLITUD,LTRENDIDX,M,2017-09,101.3122,
USA,CCI,AMPLITUD,LTRENDIDX,M,2017-10,101.4758,
USA,CCI,AMPLITUD,LTRENDIDX,M,2017-11,101.4539,
USA,CCI,AMPLITUD,LTRENDIDX,M,2017-12,101.3636,
USA,CCI,AMPLITUD,LTRENDIDX,M,2018-01,101.3956,
USA,CCI,AMPLITUD,LTRENDIDX,M,2018-02,101.57,
USA,CCI,AMPLITUD,LTRENDIDX,M,2018-03,101.6783,
USA,CCI,AMPLITUD,LTRENDIDX,M,2018-04,101.6238,
USA,CCI,AMPLITUD,LTRENDIDX,M,2018-05,101.5319,
USA,CCI,AMPLITUD,LTRENDIDX,M,2018-06,101.4699,
USA,CCI,AMPLITUD,LTRENDIDX,M,2018-07,101.4362,
USA,CCI,AMPLITUD,LTRENDIDX,M,2018-08,101.4482,
USA,CCI,AMPLITUD,LTRENDIDX,M,2018-09,101.5374,
USA,CCI,AMPLITUD,LTRENDIDX,M,2018-10,101.5183,
USA,CCI,AMPLITUD,LTRENDIDX,M,2018-11,101.4015,
USA,CCI,AMPLITUD,LTRENDIDX,M,2018-12,101.2193,
USA,CCI,AMPLITUD,LTRENDIDX,M,2019-01,101.0012,
USA,CCI,AMPLITUD,LTRENDIDX,M,2019-02,101.0591,
USA,CCI,AMPLITUD,LTRENDIDX,M,2019-03,101.2919,
USA,CCI,AMPLITUD,LTRENDIDX,M,2019-04,101.4627,
USA,CCI,AMPLITUD,LTRENDIDX,M,2019-05,101.5565,
USA,CCI,AMPLITUD,LTRENDIDX,M,2019-06,101.4564,
USA,CCI,AMPLITUD,LTRENDIDX,M,2019-07,101.2087,
USA,CCI,AMPLITUD,LTRENDIDX,M,2019-08,100.8925,
USA,CCI,AMPLITUD,LTRENDIDX,M,2019-09,100.8925,
USA,CCI,AMPLITUD,LTRENDIDX,M,2019-10,101.1091,
USA,CCI,AMPLITUD,LTRENDIDX,M,2019-11,101.396,
USA,CCI,AMPLITUD,LTRENDIDX,M,2019-12,101.6392,
USA,CCI,AMPLITUD,LTRENDIDX,M,2020-01,101.6375,
USA,CCI,AMPLITUD,LTRENDIDX,M,2020-02,101.1805,
USA,CCI,AMPLITUD,LTRENDIDX,M,2020-03,100.115,
USA,CCI,AMPLITUD,LTRENDIDX,M,2020-04,98.95609,
USA,CCI,AMPLITUD,LTRENDIDX,M,2020-05,98.42225,
USA,CCI,AMPLITUD,LTRENDIDX,M,2020-06,98.36909,
USA,CCI,AMPLITUD,LTRENDIDX,M,2020-07,98.38756,
USA,CCI,AMPLITUD,LTRENDIDX,M,2020-08,98.603,
USA,CCI,AMPLITUD,LTRENDIDX,M,2020-09,98.93655,
USA,CCI,AMPLITUD,LTRENDIDX,M,2020-10,99.09532,
USA,CCI,AMPLITUD,LTRENDIDX,M,2020-11,99.0493,
USA,CCI,AMPLITUD,LTRENDIDX,M,2020-12,99.05256,
USA,CCI,AMPLITUD,LTRENDIDX,M,2021-01,99.05906,
USA,CCI,AMPLITUD,LTRENDIDX,M,2021-02,99.20814,
USA,CCI,AMPLITUD,LTRENDIDX,M,2021-03,99.59937,
USA,CCI,AMPLITUD,LTRENDIDX,M,2021-04,99.86053,
USA,CCI,AMPLITUD,LTRENDIDX,M,2021-05,99.79817,
USA,CCI,AMPLITUD,LTRENDIDX,M,2021-06,99.57372,
USA,CCI,AMPLITUD,LTRENDIDX,M,2021-07,99.07135,
USA,CCI,AMPLITUD,LTRENDIDX,M,2021-08,98.45681,
USA,CCI,AMPLITUD,LTRENDIDX,M,2021-09,98.12675,
USA,CCI,AMPLITUD,LTRENDIDX,M,2021-10,97.92135,
USA,CCI,AMPLITUD,LTRENDIDX,M,2021-11,97.77589,
USA,CCI,AMPLITUD,LTRENDIDX,M,2021-12,97.78466,
